dataset,missingness_type,missing_rate,imputation_method,rmse
rmftsa_ladata,missing_not_at_random,10,constant_imputation,15.13830559408293
rmftsa_ladata,missing_not_at_random,10,mean_imputation,4.712194545294459
rmftsa_ladata,missing_not_at_random,10,median_imputation,4.550715711209828
rmftsa_ladata,missing_not_at_random,10,k_nearest_neighbors_imputation,3.9468173365277073
rmftsa_ladata,missing_not_at_random,10,mice_imputation,3.5054664426171533
rmftsa_ladata,missing_not_at_random,10,random_forest_imputation,3.3322223883956985
rmftsa_ladata,missing_not_at_random,15,k_nearest_neighbors_imputation,5.334176851002919
rmftsa_ladata,missing_not_at_random,8,k_nearest_neighbors_imputation,3.4419610250679495
rmftsa_ladata,missing_not_at_random,20,k_nearest_neighbors_imputation,6.155904244903408
rmftsa_ladata,missing_not_at_random,25,constant_imputation,20.818906006395956
rmftsa_ladata,missing_not_at_random,25,mean_imputation,7.931761340638404
rmftsa_ladata,missing_not_at_random,25,median_imputation,7.525372004695523
rmftsa_ladata,missing_not_at_random,25,k_nearest_neighbors_imputation,6.919082642814289
rmftsa_ladata,missing_not_at_random,25,mice_imputation,6.510317102839735
rmftsa_ladata,missing_not_at_random,25,random_forest_imputation,6.5319897951065515
rmftsa_ladata,missing_not_at_random,30,k_nearest_neighbors_imputation,8.095042990382355
rmftsa_ladata,missing_not_at_random,40,k_nearest_neighbors_imputation,10.821871583635822
treasury,missing_completely_at_random,1,k_nearest_neighbors_imputation,0.2306775749659544
treasury,missing_completely_at_random,2,k_nearest_neighbors_imputation,0.31842320656924156
treasury,missing_completely_at_random,3,k_nearest_neighbors_imputation,0.39421850891389837
treasury,missing_completely_at_random,5,constant_imputation,82.63119458189742
treasury,missing_completely_at_random,5,mean_imputation,23.686022206329866
treasury,missing_completely_at_random,5,median_imputation,23.85655018217025
treasury,missing_completely_at_random,5,k_nearest_neighbors_imputation,0.5489993996103488
treasury,missing_completely_at_random,5,mice_imputation,5.472099342321371
treasury,missing_completely_at_random,5,random_forest_imputation,0.6601045713171256
treasury,missing_completely_at_random,6,k_nearest_neighbors_imputation,0.6308904974358578
treasury,missing_completely_at_random,4,k_nearest_neighbors_imputation,0.4651137499521321
treasury,missing_completely_at_random,8,k_nearest_neighbors_imputation,0.8131132617903364
treasury,missing_completely_at_random,15,k_nearest_neighbors_imputation,1.27106543805272
treasury,missing_completely_at_random,10,constant_imputation,111.62307619810092
treasury,missing_completely_at_random,10,mean_imputation,32.93543434999593
treasury,missing_completely_at_random,10,median_imputation,32.946594427965174
treasury,missing_completely_at_random,10,k_nearest_neighbors_imputation,0.9307893184051461
treasury,missing_completely_at_random,10,mice_imputation,8.167555687310903
treasury,missing_completely_at_random,10,random_forest_imputation,1.013210907564867
treasury,missing_completely_at_random,20,k_nearest_neighbors_imputation,1.7124449685653609
treasury,missing_completely_at_random,25,constant_imputation,174.04337076493252
treasury,missing_completely_at_random,25,mean_imputation,52.07485825485364
treasury,missing_completely_at_random,25,median_imputation,51.972527113258614
treasury,missing_completely_at_random,25,k_nearest_neighbors_imputation,2.2542663670409997
treasury,missing_completely_at_random,25,mice_imputation,15.1162666323844
treasury,missing_completely_at_random,25,random_forest_imputation,2.409594234076179
treasury,missing_completely_at_random,30,k_nearest_neighbors_imputation,3.008226756569666
treasury,missing_completely_at_random,40,k_nearest_neighbors_imputation,8.751596033145146
treasury,missing_at_random,2,k_nearest_neighbors_imputation,3.740335382243151
treasury,missing_at_random,4,k_nearest_neighbors_imputation,7.389765586948025
treasury,missing_at_random,3,k_nearest_neighbors_imputation,4.836150122870515
treasury,missing_at_random,1,k_nearest_neighbors_imputation,1.1715779693471757
treasury,missing_at_random,5,constant_imputation,83.3847528494636
treasury,missing_at_random,5,mean_imputation,101.53746133381952
treasury,missing_at_random,5,median_imputation,102.8448687244166
treasury,missing_at_random,5,k_nearest_neighbors_imputation,10.726560938502226
treasury,missing_at_random,5,mice_imputation,10.342492307188117
treasury,missing_at_random,5,random_forest_imputation,10.461329923981765
treasury,missing_at_random,6,k_nearest_neighbors_imputation,13.40195500075513
